"1","#iot","Test IoT hashtag","IoT"
"3","#iotconf17","#iotconf17","#iotconf17"
"4","#IoTWeek2017","Geneva IoT Week","#IoTWeek2017"
"5","#GIoTS2017","Geneva IoT Week","#GIoTS2017"
"7","#TechXLR8 ","IoT Conference - London","London, IoT"
"8","#LTW","Tech Conference, London","#LTW"
"9","#openiot","June 16th 2017 London meet up to revise 2012 definition and come up with a certification mark","london, open, definition, certification"
"11","#iotmanifesto","2015 Marcel Schouwenaar Design Manifesto","design, manifesto"
"12","@LBT_IoT","LivingBitsand Things","#conference"
"13","#iotmark","Certification initiative","governance, measures, community"
"14","#BornHack","Bornhack 2017 - Danish maker/hacker event","Denmark, data ethics, hacking"
"15","#Thingscon","All ThingsCon-related tweets in preparation for our event in September","ThingsCon, events"
"16","#techfestival","#techfestival","#techfestival"
"19","#privacy","",""
"20","#IoT2017","Linz Austria Oct 22-25 2017","int conference, acm, sigchi, bosch sponsor,"
"21","#Mozfest","Mozilla Festival","IoT, cool tech, conference"
"22"," #thingsconams","ThingsCon Amsterdam","#thingsconams"
"23","#iotday","IoTday 2018","IoTDay, council"
"24","#Sensemakers","Amsterdam meetup ","#Sensemakers"
"25","#iotrotterdam","IoT Rotterdam ","#iotrotterdam"
"26","#IoT_Rotterdam","IoT Rotterdam ","#IoT_Rotterdam"
"27","#IoTweek2018","IoTWeek",""
"28","#FUD","Fear uncertainty and doubt!",""
"30","#responsibletech","hashtag used alongside things con",""
